what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.struts.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.verification",1476366384206
started,bundle,org.jboss.tools.jst.web.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.verification",1476366384304
started,bundle,org.jboss.tools.jsf.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.verification",1476366384402
started,bundle,org.jboss.tools.struts,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts",1476366384454
started,bundle,org.jboss.tools.jsf,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf",1476366384462
started,bundle,org.jboss.tools.jst.web.tiles,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.tiles",1476366384472
started,bundle,org.jboss.tools.hibernate.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.xml",1476366384475
started,bundle,org.jboss.tools.seam.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.xml",1476366384481
started,bundle,org.jboss.tools.seam.pages.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.pages.xml",1476366384484
started,bundle,org.jboss.tools.cdi.xml,1.0.1.v201006011046R-H111-GA,"org.jboss.tools.cdi.xml",1476366384491
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1476366384514
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1476366384520
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1476366384608
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1476366384633
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1476366384651
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1476366384687
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1476366393409
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1476366393422
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1476366393424
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1476366393538
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1476366396065
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1476366401026
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1476366401184
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1476366496890
